Event Description,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Time to Restore
Equipment Failure,6/28/2013,6:02 PM,6/28/2013,8:46 PM,2:44
Physical Attack; Vandalism,6/28/2013,5:14 PM,6/28/2013,5:15 PM,0:01
Physical Attack; Vandalism,6/28/2013,1:00 PM,6/28/2013,1:01 PM,0:01
Physical Attack; Vandalism,6/27/2013,1:10 AM,6/27/2013,2:45 AM,1:35
Physical Attack; Vandalism,6/22/2013,4:59 AM,6/22/2013,9:28 PM,16:29
Suspected Physical Attack,6/22/2013,4:12 PM,6/22/2013,5:45 PM,1:33
Physical Attack; Vandalism,6/21/2013,11:14 PM,6/21/2013,11:15 PM,0:01
Suspected Cyber Attack,6/21/2013,8:31 AM,10/30/2013,2:09 PM,5:38
Physical Attack; Vandalism & Sabotage,6/21/2013,7:40 AM,6/21/2013,12:14 PM,4:34
Severe Weather - Hailstorm,6/21/2013,3:00 AM,6/26/2013,12:00 PM,9:00
Electrical System Separation (Islanding),6/19/2013,7:57 PM,6/19/2013,8:09 PM,0:12
Electrical System Separation (Islanding),6/18/2013,3:51 PM,6/18/2013,4:23 PM,0:32
Load Shed of 100+ MW Under Emergency Operational Policy,6/17/2013,4:17 PM,6/17/2013,6:49 PM,2:32
Severe Weather - Thunderstorms,6/13/2013,8:47 PM,6/14/2013,10:47 PM,2:00
Severe Weather - Thunderstorms,6/13/2013,3:20 PM,6/14/2013,9:10 PM,5:50
Severe Weather - Thunderstorms,6/13/2013,5:45 PM,6/14/2013,6:30 PM,0:45
Severe Weather - Thunderstorms,6/13/2013,1:17 PM,6/14/2013,5:35 PM,4:18
Severe Weather - Thunderstorms,6/13/2013,4:08 PM,6/14/2013,5:16 PM,1:08
Loss of 300+ MW Load; Severe Weather - Thunderstorms,6/13/2013,3:30 PM,6/13/2013,4:00 PM,0:30
Electrical System Separation (Islanding),6/3/2013,12:50 PM,6/3/2013,1:36 PM,0:46
Severe Weather - Thunderstorms,5/31/2013,7:30 PM,6/1/2013,8:00 PM,0:30
Severe Weather - Lightning,5/31/2013,1:00 AM,5/31/2013,1:30 AM,0:30
Vandalism,5/30/2013,10:15 AM,5/30/2013,10:16 AM,0:01
Vandalism/Theft,5/29/2013,9:52 AM,5/29/2013,9:53 AM,0:01
Physical Attack,5/29/2013,12:00 AM,5/29/2013,12:02 AM,0:02
Vandalism/Theft,5/28/2013,1:00 PM,5/28/2013,6:00 PM,5:00
System Wide Voltage Reduction,5/22/2013,10:51 AM,5/22/2013,10:57 AM,0:06
Generator Trip; Load Shed 100+ MW,5/20/2013,5:22 PM,5/20/2013,9:09 PM,3:47
Severe Weather - Tornados,5/20/2013,3:00 PM,5/22/2013,5:00 PM,2:00
Vandalism,5/17/2013,8:35 AM,5/17/2013,8:36 AM,0:01
Vandalism,5/15/2013,2:11 PM,5/15/2013,2:12 PM,0:01
Vandalism/Theft,5/14/2013,12:01 AM,5/14/2013,1:59 PM,13:58
Vandalism,5/14/2013,10:25 AM,5/14/2013,11:42 AM,1:17
Electrical System Separation (Islanding),5/9/2013,1:21 PM,5/9/2013,4:21 PM,3:00
Electrical System Separation (Islanding),5/2/2013,6:52 AM,5/2/2013,10:07 AM,3:15
Electrical System Separation (Islanding),5/1/2013,9:22 AM,5/1/2013,9:24 AM,0:02
Vandalism,4/23/2013,11:00 AM,4/23/2013,11:01 AM,0:01
Electrical System Separation (Islanding),4/23/2013,12:49 AM,4/23/2013,4:04 AM,3:15
Suspected Physical Attack,4/21/2013,2:11 AM,4/21/2013,12:30 PM,10:19
Suspected Physical Attack,4/17/2013,3:36 PM,4/17/2013,4:53 PM,1:17
"Loss of Part of a High Voltage Substation, Physical Attack",4/16/2013,1:47 AM,4/18/2013,3:25 PM,13:38
Vandalism,4/9/2013,11:30 AM,4/9/2013,11:31 AM,0:01
Sabotage; Vandalism,4/3/2013,11:05 AM,4/3/2013,2:00 PM,2:55
Vandalism - Copper Wire Theft,4/1/2013,8:40 AM,4/1/2013,8:41 AM,0:01
Suspected Physical Attack,3/29/2013,10:16 AM,3/29/2013,10:17 AM,0:01
Vandalism,3/28/2013,1:01 PM,3/28/2013,1:02 PM,0:01
Physical Attack; Vandalism,3/27/2013,10:25 AM,3/27/2013,12:19 PM,1:54
Vandalism,3/23/2013,7:00 AM,3/23/2013,9:00 AM,2:00
Suspected Physical Attack,3/18/2013,5:50 PM,3/18/2013,6:07 PM,0:17
Generator Trip; Load Shed,3/18/2013,5:21 AM,3/18/2013,5:41 AM,0:20
Severe Weather - Winter Storm,3/6/2013,8:22 AM,3/7/2013,10:27 AM,2:05
Equipment Failure; Transmission System Interruption,3/4/2013,9:49 AM,3/4/2013,10:00 PM,12:11
Vandalism,3/3/2013,4:27 PM,3/3/2013,6:20 PM,1:53
Transmission System Interruption,3/3/2013,6:39 AM,3/3/2013,10:29 AM,3:50
Vandalism,2/21/2013,11:00 AM,2/21/2013,11:30 AM,0:30
Vandalism,2/16/2013,7:54 AM,2/16/2013,7:54 AM,0:00
Vandalism,2/15/2013,12:00 AM,2/15/2013,12:01 AM,0:01
Fuel Supply Emergency - Petroleum,2/13/2013,5:39 PM,2/15/2013,5:50 PM,0:11
Vandalism,2/13/2013,9:30 AM,2/13/2013,9:30 AM,0:00
Generator Trip; Voltage Reduction,2/10/2013,7:46 PM,2/10/2013,8:15 PM,0:29
Vandalism; Equipment Fault,2/9/2013,8:30 AM,2/9/2013,3:00 PM,6:30
Severe Weather - Winter Storm Nemo,2/8/2013,8:00 PM,2/11/2013,8:30 PM,0:30
Equipment Trip & Failure,2/8/2013,11:38 AM,2/8/2013,2:17 PM,2:39
Vandalism,2/7/2013,8:32 AM,2/7/2013,9:47 AM,1:15
Vandalism,2/2/2013,9:15 PM,2/2/2013,10:15 PM,1:00
Severe Weather - Wind Storm,1/31/2013,6:30 AM,1/31/2013,10:00 AM,3:30
Severe Weather - Wind Storm,1/31/2013,3:05 AM,1/31/2013,4:48 AM,1:43
Physical Attack,1/28/2013,4:46 PM,1/28/2013,6:00 PM,1:14
Severe Weather - Wind Storm,1/20/2013,3:30 AM,1/23/2013,6:15 AM,2:45
Distribution Interruption,1/17/2013,8:35 PM,1/17/2013,9:20 PM,0:45
Severe Weather - Winter Storm,1/17/2013,6:07 PM,1/20/2013,7:30 PM,1:23
Suspected Physical Attack,1/16/2013,4:45 PM,1/16/2013,7:26 PM,2:41
Physcial Attack; Vandalism,1/16/2013,2:25 PM,1/16/2013,2:25 PM,0:00
Physical Attack,1/16/2013,7:41 AM,1/17/2013,10:58 AM,3:17
Physcial Attack; Vandalism,1/7/2013,10:43 AM,1/7/2013,10:43 AM,0:00
Transmission Interruption,12/31/2012,2:21 PM,12/31/2012,4:30 PM,2:09
Severe Weather - Thunderstorm,12/26/2012,2:50 PM,12/26/2012,7:40 PM,4:50
"Severe Weather - Cold Front, High Winds",12/25/2012,9:28 AM,12/26/2012,4:28 PM,7:00
Severe Weather - Winter Storm,12/25/2012,12:45 AM,12/28/2012,4:15 PM,15:30
Suspected Physical Attack,12/17/2012,6:55 AM,12/17/2012,7:00 AM,0:05
